atmospheric_feature,rf_response,lag_minutes,n,spearman_rho,abs_rho
sj01_local_press_hpa,dl_rssi_dbm,120,2030,-0.47468039218423624,0.47468039218423624
sj01_local_press_hpa,dl_rssi_dbm,90,2040,-0.46466165155483097,0.46466165155483097
sj01_local_press_hpa,dl_snr_db,120,2030,-0.4605610037784258,0.4605610037784258
sj01_local_press_hpa,dl_rssi_dbm,60,2050,-0.45361554819384076,0.45361554819384076
sj01_local_press_hpa,dl_snr_db,90,2040,-0.45158217044863774,0.45158217044863774
sj01_local_press_hpa,dl_snr_db,60,2050,-0.44291312131395255,0.44291312131395255
sj01_local_press_hpa,dl_rssi_dbm,30,2062,-0.4392384966218956,0.4392384966218956
cu01_local_hum_avg_pct,dl_mcs,120,2030,-0.43836759172681533,0.43836759172681533
sj01_local_press_hpa,dl_rssi_dbm,15,2070,-0.4318859363165513,0.4318859363165513
sj01_local_press_hpa,dl_snr_db,30,2062,-0.4317551638730857,0.4317551638730857
sj01_local_press_hpa,dl_rssi_dbm,10,2071,-0.43087069284677976,0.43087069284677976
sj01_local_press_hpa,dl_rssi_dbm,5,2074,-0.42735745341499,0.42735745341499
sj01_local_press_hpa,dl_snr_db,15,2070,-0.42570665166476734,0.42570665166476734
cu01_local_hum_avg_pct,dl_mcs,90,2040,-0.42446983624381274,0.42446983624381274
sj01_local_press_hpa,dl_snr_db,10,2071,-0.4234067443366118,0.4234067443366118
sj01_local_press_hpa,dl_snr_db,5,2074,-0.4203639468245331,0.4203639468245331
sj01_local_press_hpa,dl_rssi_dbm,0,2144,-0.4153029158167255,0.4153029158167255
sj01_local_press_hpa,dl_snr_db,0,2144,-0.4103077937014302,0.4103077937014302
cu01_local_hum_avg_pct,dl_mcs,60,2050,-0.40649766920031394,0.40649766920031394
cu01_local_hum_avg_pct,dl_mcs,30,2062,-0.38206910388688353,0.38206910388688353
cu01_local_press_hpa,dl_rssi_dbm,120,2030,-0.3801040664996734,0.3801040664996734
cu01_local_press_hpa,dl_snr_db,120,2030,-0.37862803143792234,0.37862803143792234
cu01_local_press_hpa,dl_rssi_dbm,90,2040,-0.3741947402373873,0.3741947402373873
cu01_local_press_hpa,dl_snr_db,90,2040,-0.371882284860248,0.371882284860248
sj01_local_hum_avg_pct,dl_mcs,120,2030,-0.37187570628028815,0.37187570628028815
cu01_local_press_hpa,dl_snr_db,60,2050,-0.3699039821667117,0.3699039821667117
cu01_local_hum_avg_pct,dl_mcs,15,2070,-0.36947944583967407,0.36947944583967407
cu01_local_hum_avg_pct,dl_mcs,10,2071,-0.3686031409441748,0.3686031409441748
cu01_local_press_hpa,dl_rssi_dbm,60,2050,-0.36857159002036183,0.36857159002036183
sj01_local_hum_avg_pct,dl_mcs,90,2040,-0.36764882325910514,0.36764882325910514
cu01_local_hum_avg_pct,dl_mcs,5,2074,-0.3608752811254691,0.3608752811254691
cu01_local_hum_avg_pct,dl_mcs,0,2144,-0.35932047599775885,0.35932047599775885
cu01_local_press_hpa,dl_snr_db,30,2062,-0.3580839820573401,0.3580839820573401
cu01_local_press_hpa,dl_rssi_dbm,30,2062,-0.3534245577440493,0.3534245577440493
cu01_local_press_hpa,dl_snr_db,15,2070,-0.3533309133766023,0.3533309133766023
sj01_local_hum_avg_pct,dl_mcs,60,2050,-0.35156290011386737,0.35156290011386737
cu01_local_press_hpa,dl_snr_db,10,2071,-0.34851367970254893,0.34851367970254893
cu01_local_press_hpa,dl_rssi_dbm,15,2070,-0.34670441054480305,0.34670441054480305
cu01_local_press_hpa,dl_rssi_dbm,10,2071,-0.3405654337763627,0.3405654337763627
cu01_local_press_hpa,dl_rssi_dbm,5,2074,-0.33556898236515564,0.33556898236515564
cu01_local_press_hpa,dl_snr_db,5,2074,-0.33476017668448327,0.33476017668448327
cu01_local_press_hpa,dl_snr_db,0,2144,-0.3345919093333097,0.3345919093333097
sj01_local_hum_avg_pct,dl_mcs,30,2062,-0.32971687863748333,0.32971687863748333
cu01_local_press_hpa,dl_rssi_dbm,0,2144,-0.3260916065605839,0.3260916065605839
sj01_local_hum_avg_pct,dl_mcs,10,2071,-0.31736478474452007,0.31736478474452007
sj01_local_hum_avg_pct,dl_mcs,15,2070,-0.3169921130169478,0.3169921130169478
sj01_local_hum_avg_pct,dl_mcs,5,2074,-0.31043092715949244,0.31043092715949244
sj01_local_hum_avg_pct,dl_mcs,0,2144,-0.30992973502748045,0.30992973502748045
sj01_local_press_hpa,dl_mcs,0,2144,-0.29880355854465956,0.29880355854465956
sj01_local_press_hpa,dl_mcs,10,2071,-0.298525039675278,0.298525039675278
