atmospheric_feature,rf_response,lag_minutes,n,spearman_rho,abs_rho
sj01_local_wind_speed_ms__d15,ul_snr_db__d15,60,1920,0.08095131246015673,0.08095131246015673
sj01_local_wind_speed_ms__d5,ul_snr_db__d5,30,1933,-0.07810828555313484,0.07810828555313484
cu01_local_hum_avg_pct__d15,ul_rssi_dbm__d15,60,1920,-0.0721889007409361,0.0721889007409361
sj01_local_wind_speed_ms__d5,ul_rssi_dbm__d5,30,1933,-0.0702556049027185,0.0702556049027185
sj01_local_wind_speed_ms__d15,ul_snr_db__d15,5,1948,-0.06968896223647196,0.06968896223647196
cu01_local_hum_avg_pct__d15,dl_snr_db__d15,15,2002,-0.06554236624101265,0.06554236624101265
sj01_local_wind_speed_ms__d5,ul_mcs__d5,60,1925,0.06156077556459239,0.06156077556459239
sj01_local_temp_avg_c__d5,ul_snr_db__d15,90,1912,0.06134209588022373,0.06134209588022373
sj01_local_wind_speed_ms__d15,ul_rssi_dbm__d15,5,1948,-0.060433197771533886,0.060433197771533886
sj01_local_wind_speed_ms__d5,dl_mcs__d5,5,2009,-0.05950018662510486,0.05950018662510486
sj01_local_press_hpa__d5,ul_rssi_dbm__d15,60,1923,0.05908716846785418,0.05908716846785418
cu01_local_hum_avg_pct__d15,dl_rssi_dbm__d15,0,2070,0.05775647340945013,0.05775647340945013
sj01_local_hum_avg_pct__d15,dl_mcs__d15,30,1937,-0.05755497915715867,0.05755497915715867
cu01_local_hum_avg_pct__d15,dl_rssi_dbm__d15,15,2002,-0.05727574944055448,0.05727574944055448
sj01_local_temp_avg_c__d5,dl_snr_db__d15,10,2007,-0.05639250373470087,0.05639250373470087
cu01_local_temp_avg_c__d15,ul_rssi_dbm__d15,90,1910,0.05598187510339569,0.05598187510339569
sj01_local_press_hpa__d5,dl_rssi_dbm__d5,120,1905,-0.05584594494824364,0.05584594494824364
cu01_local_temp_avg_c__d15,dl_rssi_dbm__d15,60,1920,0.05457097631361027,0.05457097631361027
sj01_local_press_hpa__d5,ul_mcs__d15,5,1950,0.05394137559026363,0.05394137559026363
sj01_local_wind_speed_ms__d5,dl_rssi_dbm__d5,10,1950,0.053115402185677146,0.053115402185677146
sj01_local_temp_avg_c__d5,dl_rssi_dbm__d5,0,2074,-0.05276092775501277,0.05276092775501277
sj01_local_wind_speed_ms__d5,ul_rssi_dbm__d5,90,1912,0.05249612071104026,0.05249612071104026
sj01_local_wind_speed_ms__d15,dl_mcs__d15,5,1948,-0.05244144356306641,0.05244144356306641
cu01_local_press_hpa__d5,ul_snr_db__d15,5,1950,-0.052401723516930745,0.052401723516930745
sj01_local_press_hpa__d15,ul_rssi_dbm__d15,15,2002,-0.051266389118813385,0.051266389118813385
sj01_local_wind_speed_ms__d5,ul_mcs__d15,5,1950,-0.05101649913984942,0.05101649913984942
cu01_local_hum_avg_pct__d5,ul_rssi_dbm__d15,60,1923,-0.05075322978405841,0.05075322978405841
sj01_local_wind_speed_ms__d5,ul_snr_db__d5,5,2009,-0.050687660612284115,0.050687660612284115
sj01_local_wind_speed_ms__d5,ul_snr_db__d5,60,1925,0.0504032751893794,0.0504032751893794
cu01_local_hum_avg_pct__d5,dl_rssi_dbm__d15,0,2008,0.04980092572319741,0.04980092572319741
cu01_local_press_hpa__d5,ul_rssi_dbm__d5,10,1950,-0.049559860221563556,0.049559860221563556
sj01_local_temp_avg_c__d5,ul_rssi_dbm__d15,10,2007,-0.04926601963775746,0.04926601963775746
sj01_local_temp_avg_c__d15,ul_rssi_dbm__d15,5,1948,-0.04915106584465003,0.04915106584465003
cu01_local_hum_avg_pct__d15,dl_snr_db__d15,0,2070,0.048978915711708204,0.048978915711708204
sj01_local_temp_avg_c__d15,dl_snr_db__d15,0,2070,-0.04845221872916649,0.04845221872916649
cu01_local_hum_avg_pct__d5,ul_rssi_dbm__d5,60,1925,-0.048363927241729256,0.048363927241729256
sj01_local_wind_speed_ms__d15,ul_snr_db__d5,15,1945,0.04828877657550556,0.04828877657550556
cu01_local_temp_avg_c__d5,ul_rssi_dbm__d5,90,1912,0.04822545986563408,0.04822545986563408
sj01_local_wind_speed_ms__d5,ul_snr_db__d5,90,1912,0.048166235508728276,0.048166235508728276
cu01_local_temp_avg_c__d15,dl_rssi_dbm__d15,0,2070,-0.04809654619740775,0.04809654619740775
sj01_local_wind_speed_ms__d5,ul_rssi_dbm__d15,60,1923,-0.04793571044488559,0.04793571044488559
sj01_local_temp_avg_c__d5,ul_rssi_dbm__d15,0,2008,0.047722445267455844,0.047722445267455844
cu01_local_temp_avg_c__d5,ul_rssi_dbm__d15,60,1923,0.047607575271397626,0.047607575271397626
cu01_local_temp_avg_c__d15,dl_snr_db__d15,60,1920,0.04743659275047942,0.04743659275047942
cu01_local_hum_avg_pct__d15,ul_mcs__d15,5,1948,0.04701983502808018,0.04701983502808018
cu01_local_temp_avg_c__d5,dl_snr_db__d15,0,2008,-0.04689745722859743,0.04689745722859743
cu01_local_temp_avg_c__d5,dl_mcs__d15,60,1923,0.04633161400150076,0.04633161400150076
sj01_local_wind_speed_ms__d15,dl_snr_db__d5,30,1933,-0.04614913095222389,0.04614913095222389
sj01_local_wind_speed_ms__d15,ul_rssi_dbm__d5,90,1909,0.04609858753654275,0.04609858753654275
sj01_local_wind_speed_ms__d15,ul_mcs__d15,120,1902,0.04582156095547326,0.04582156095547326
