field_analysis_valid,rf_timestamp_utc,operating_frequency_mhz,channel_bandwidth_mhz,dl_rssi_dbm,ul_rssi_dbm,dl_snr_db,ul_snr_db,dl_mcs,ul_mcs,cu01_local_temp_avg_c,cu01_local_hum_avg_pct,cu01_local_press_hpa,sj01_local_temp_avg_c,sj01_local_hum_avg_pct,sj01_local_press_hpa,sj01_local_wind_speed_ms
1,2026-09-01T18:30:52+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,25.44,37.21,739.55,15.09,49.67,664.33,6.0
1,2026-09-01T18:35:52+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,25.88,36.68,739.48,14.23,55.18,664.33,5.4
1,2026-09-01T18:37:37+00:00,7000.0,20.0,-74.0,-80.0,23.0,19.0,204.0,202.0,26.38,35.29,739.39,13.97,56.34,664.16,10.4
1,2026-09-01T18:42:38+00:00,7000.0,20.0,-75.0,-82.0,22.0,17.0,204.0,202.0,25.68,41.9,739.29,13.94,54.64,664.12,10.5
1,2026-09-01T18:47:39+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,27.0,34.79,739.19,15.04,52.12,664.28,6.3
1,2026-09-01T18:52:39+00:00,7000.0,20.0,-75.0,-80.0,22.0,18.0,204.0,202.0,26.69,34.74,739.26,14.21,54.91,664.31,4.3
1,2026-09-01T18:57:41+00:00,7000.0,20.0,-75.0,-81.0,22.0,17.0,204.0,202.0,27.19,35.08,739.28,14.54,53.08,664.15,9.0
1,2026-09-01T19:02:41+00:00,7000.0,20.0,-75.0,-80.0,22.0,19.0,204.0,202.0,27.56,34.22,739.22,13.66,54.4,663.97,6.2
1,2026-09-01T19:07:42+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,27.28,34.78,739.21,13.6,56.5,663.94,9.0
1,2026-09-01T19:12:44+00:00,7000.0,20.0,-75.0,-82.0,23.0,17.0,204.0,202.0,27.37,34.66,739.17,13.41,57.04,663.75,11.2
1,2026-09-01T19:17:45+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,27.97,33.03,739.21,13.32,56.81,663.98,7.7
1,2026-09-01T19:22:45+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,203.0,27.8,33.94,739.21,14.18,55.11,663.95,5.9
1,2026-09-01T19:27:46+00:00,7000.0,20.0,-74.0,-80.0,23.0,18.0,204.0,202.0,27.57,34.5,739.17,16.36,48.25,664.01,8.2
1,2026-09-01T19:37:47+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,28.87,31.87,739.02,13.79,52.86,663.78,8.4
1,2026-09-01T19:42:48+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,28.97,32.8,738.98,14.52,52.89,663.82,8.1
1,2026-09-01T19:47:49+00:00,7000.0,20.0,-74.0,-81.0,23.0,18.0,204.0,202.0,29.08,32.23,738.9,13.92,54.26,663.68,10.2
1,2026-09-01T19:52:50+00:00,7000.0,20.0,-75.0,-80.0,23.0,19.0,204.0,202.0,29.24,31.08,738.93,13.39,56.16,663.66,10.1
1,2026-09-01T19:57:50+00:00,7000.0,20.0,-75.0,-81.0,22.0,18.0,204.0,203.0,28.26,32.97,738.88,13.66,53.7,663.61,8.4
