effect_sd,lag_min,horizon_min,trials,recovery_rate,ci95_low,ci95_high
0.5,15.0,30,50,0.94,0.8378265662912299,0.9793854036353695
0.5,15.0,60,50,0.7,0.562493877226366,0.8089661091039063
0.5,15.0,120,50,0.7,0.562493877226366,0.8089661091039063
0.5,30.0,30,50,0.5,0.36644286412332855,0.6335571358766714
0.5,30.0,60,50,0.56,0.4230578680014353,0.6883801278976466
0.5,30.0,120,50,0.7,0.562493877226366,0.8089661091039063
0.5,60.0,30,50,0.0,0.0,0.07135003417431873
0.5,60.0,60,50,0.04,0.011038652660826577,0.13460337877954667
0.5,60.0,120,50,0.42,0.2937479723456693,0.5576680331222217
1.0,15.0,30,50,1.0,0.9286499658256813,1.0
1.0,15.0,60,50,1.0,0.9286499658256813,1.0
1.0,15.0,120,50,0.96,0.8653966212204534,0.9889613473391734
1.0,30.0,30,50,1.0,0.9286499658256813,1.0
1.0,30.0,60,50,0.96,0.8653966212204534,0.9889613473391734
1.0,30.0,120,50,0.96,0.8653966212204534,0.9889613473391734
1.0,60.0,30,50,0.0,0.0,0.07135003417431873
1.0,60.0,60,50,0.76,0.6258705062480763,0.8570274759812779
1.0,60.0,120,50,0.86,0.738135428014719,0.9304925473797714
1.5,15.0,30,50,1.0,0.9286499658256813,1.0
1.5,15.0,60,50,1.0,0.9286499658256813,1.0
1.5,15.0,120,50,0.96,0.8653966212204534,0.9889613473391734
1.5,30.0,30,50,1.0,0.9286499658256813,1.0
1.5,30.0,60,50,1.0,0.9286499658256813,1.0
1.5,30.0,120,50,0.96,0.8653966212204534,0.9889613473391734
1.5,60.0,30,50,0.0,0.0,0.07135003417431873
1.5,60.0,60,50,0.96,0.8653966212204534,0.9889613473391734
1.5,60.0,120,50,0.86,0.738135428014719,0.9304925473797714
2.0,15.0,30,50,1.0,0.9286499658256813,1.0
2.0,15.0,60,50,1.0,0.9286499658256813,1.0
2.0,15.0,120,50,0.96,0.8653966212204534,0.9889613473391734
2.0,30.0,30,50,1.0,0.9286499658256813,1.0
2.0,30.0,60,50,1.0,0.9286499658256813,1.0
2.0,30.0,120,50,0.96,0.8653966212204534,0.9889613473391734
2.0,60.0,30,50,0.0,0.0,0.07135003417431873
2.0,60.0,60,50,0.96,0.8653966212204534,0.9889613473391734
2.0,60.0,120,50,0.86,0.738135428014719,0.9304925473797714
