effect_sd,lag_min,trials,familywise_recovery_rate,ci95_low,ci95_high
0.5,15.0,50,0.98,0.8950431352816304,0.9964608319110235
0.5,30.0,50,0.84,0.7148551903823401,0.9166267863791231
0.5,60.0,50,0.42,0.2937479723456693,0.5576680331222217
1.0,15.0,50,1.0,0.9286499658256813,1.0
1.0,30.0,50,1.0,0.9286499658256813,1.0
1.0,60.0,50,0.92,0.8116149745493629,0.9684509967442093
1.5,15.0,50,1.0,0.9286499658256813,1.0
1.5,30.0,50,1.0,0.9286499658256813,1.0
1.5,60.0,50,0.98,0.8950431352816304,0.9964608319110235
2.0,15.0,50,1.0,0.9286499658256813,1.0
2.0,30.0,50,1.0,0.9286499658256813,1.0
2.0,60.0,50,0.98,0.8950431352816304,0.9964608319110235
