method,metric,effect_sd,lag_min,trials,rate,ci95_low,ci95_high
M0_naive_uncorrected,false_positive_rate,0.0,,200,0.095,0.06166261364986359,0.14360265114397636
M0_naive_uncorrected,recovery_rate,0.5,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,0.5,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,0.5,60.0,50,0.94,0.8378265662912299,0.9793854036353695
M0_naive_uncorrected,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.0,60.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.5,60.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,2.0,60.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,false_positive_rate,0.0,,200,0.045,0.023852271724704166,0.08329759366096785
M1_bonferroni_only,recovery_rate,0.5,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,0.5,30.0,50,0.84,0.7148551903823401,0.9166267863791231
M1_bonferroni_only,recovery_rate,0.5,60.0,50,0.42,0.2937479723456693,0.5576680331222217
M1_bonferroni_only,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.0,60.0,50,0.92,0.8116149745493629,0.9684509967442093
M1_bonferroni_only,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.5,60.0,50,0.98,0.8950431352816304,0.9964608319110235
M1_bonferroni_only,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,2.0,60.0,50,0.98,0.8950431352816304,0.9964608319110235
M2_bonferroni_support,false_positive_rate,0.0,,200,0.045,0.023852271724704166,0.08329759366096785
M2_bonferroni_support,recovery_rate,0.5,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,0.5,30.0,50,0.84,0.7148551903823401,0.9166267863791231
M2_bonferroni_support,recovery_rate,0.5,60.0,50,0.42,0.2937479723456693,0.5576680331222217
M2_bonferroni_support,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.0,60.0,50,0.92,0.8116149745493629,0.9684509967442093
M2_bonferroni_support,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.5,60.0,50,0.98,0.8950431352816304,0.9964608319110235
M2_bonferroni_support,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,2.0,60.0,50,0.98,0.8950431352816304,0.9964608319110235
M3_ASDE_full,false_positive_rate,0.0,,200,0.045,0.023852271724704166,0.08329759366096785
M3_ASDE_full,recovery_rate,0.5,15.0,50,0.98,0.8950431352816304,0.9964608319110235
M3_ASDE_full,recovery_rate,0.5,30.0,50,0.84,0.7148551903823401,0.9166267863791231
M3_ASDE_full,recovery_rate,0.5,60.0,50,0.42,0.2937479723456693,0.5576680331222217
M3_ASDE_full,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.0,60.0,50,0.92,0.8116149745493629,0.9684509967442093
M3_ASDE_full,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.5,60.0,50,0.98,0.8950431352816304,0.9964608319110235
M3_ASDE_full,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,2.0,60.0,50,0.98,0.8950431352816304,0.9964608319110235
