method,metric,effect_sd,lag_min,trials,rate,ci95_low,ci95_high
M0_naive_uncorrected,false_positive_rate,0.0,,200,0.08,0.04984015517626642,0.12599048979512317
M0_naive_uncorrected,recovery_rate,0.5,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,0.5,30.0,50,0.5,0.36644286412332855,0.6335571358766714
M0_naive_uncorrected,recovery_rate,0.5,60.0,50,0.0,0.0,0.07135003417431873
M0_naive_uncorrected,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.0,60.0,50,0.12,0.05617523710624646,0.23805078886623582
M0_naive_uncorrected,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.5,60.0,50,0.2,0.11243629945973886,0.3303737210448524
M0_naive_uncorrected,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,2.0,60.0,50,0.2,0.11243629945973886,0.3303737210448524
M1_bonferroni_only,false_positive_rate,0.0,,200,0.015,0.005114145184492387,0.043166480556278884
M1_bonferroni_only,recovery_rate,0.5,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,0.5,30.0,50,0.1,0.04347512399157111,0.2136049033478839
M1_bonferroni_only,recovery_rate,0.5,60.0,50,0.0,0.0,0.07135003417431873
M1_bonferroni_only,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M1_bonferroni_only,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.5,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M1_bonferroni_only,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,2.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M2_bonferroni_support,false_positive_rate,0.0,,200,0.015,0.005114145184492387,0.043166480556278884
M2_bonferroni_support,recovery_rate,0.5,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,0.5,30.0,50,0.1,0.04347512399157111,0.2136049033478839
M2_bonferroni_support,recovery_rate,0.5,60.0,50,0.0,0.0,0.07135003417431873
M2_bonferroni_support,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M2_bonferroni_support,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.5,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M2_bonferroni_support,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,2.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M3_ASDE_full,false_positive_rate,0.0,,200,0.015,0.005114145184492387,0.043166480556278884
M3_ASDE_full,recovery_rate,0.5,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,0.5,30.0,50,0.1,0.04347512399157111,0.2136049033478839
M3_ASDE_full,recovery_rate,0.5,60.0,50,0.0,0.0,0.07135003417431873
M3_ASDE_full,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M3_ASDE_full,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.5,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M3_ASDE_full,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,2.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
