effect_sd,lag_min,horizon_min,trials,recovery_rate,ci95_low,ci95_high
0.5,15.0,30,100,0.91,0.8377362530335634,0.9519280048361151
0.5,15.0,60,100,0.84,0.7557955544110557,0.8990479765052628
0.5,15.0,120,100,0.73,0.6356769977376873,0.8073053908233518
0.5,30.0,30,100,0.51,0.4134784047743415,0.6057816990761385
0.5,30.0,60,100,0.5,0.40382982859014716,0.5961701714098528
0.5,30.0,120,100,0.74,0.6462882736813838,0.8159542187301354
0.5,60.0,30,100,0.0,0.0,0.03699480747600191
0.5,60.0,60,100,0.03,0.010254338223414816,0.08452078080402699
0.5,60.0,120,100,0.62,0.5220957382071033,0.7090255079986562
1.0,15.0,30,100,1.0,0.9630051925239981,0.9999999999999999
1.0,15.0,60,100,1.0,0.9630051925239981,0.9999999999999999
1.0,15.0,120,100,0.97,0.915479219195973,0.9897456617765851
1.0,30.0,30,100,1.0,0.9630051925239981,0.9999999999999999
1.0,30.0,60,100,0.98,0.9299868370580063,0.9944981477650318
1.0,30.0,120,100,0.97,0.915479219195973,0.9897456617765851
1.0,60.0,30,100,0.0,0.0,0.03699480747600191
1.0,60.0,60,100,0.85,0.7671626666784216,0.906940968088377
1.0,60.0,120,100,0.93,0.8625032899347025,0.965681175635936
1.5,15.0,30,100,1.0,0.9630051925239981,0.9999999999999999
1.5,15.0,60,100,1.0,0.9630051925239981,0.9999999999999999
1.5,15.0,120,100,0.97,0.915479219195973,0.9897456617765851
1.5,30.0,30,100,1.0,0.9630051925239981,0.9999999999999999
1.5,30.0,60,100,1.0,0.9630051925239981,0.9999999999999999
1.5,30.0,120,100,0.97,0.915479219195973,0.9897456617765851
1.5,60.0,30,100,0.0,0.0,0.03699480747600191
1.5,60.0,60,100,0.97,0.915479219195973,0.9897456617765851
1.5,60.0,120,100,0.93,0.8625032899347025,0.965681175635936
2.0,15.0,30,100,1.0,0.9630051925239981,0.9999999999999999
2.0,15.0,60,100,1.0,0.9630051925239981,0.9999999999999999
2.0,15.0,120,100,0.97,0.915479219195973,0.9897456617765851
2.0,30.0,30,100,1.0,0.9630051925239981,0.9999999999999999
2.0,30.0,60,100,1.0,0.9630051925239981,0.9999999999999999
2.0,30.0,120,100,0.97,0.915479219195973,0.9897456617765851
2.0,60.0,30,100,0.0,0.0,0.03699480747600191
2.0,60.0,60,100,0.97,0.915479219195973,0.9897456617765851
2.0,60.0,120,100,0.93,0.8625032899347025,0.965681175635936
