effect_sd,lag_min,trials,familywise_recovery_rate,ci95_low,ci95_high
0.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
0.5,30.0,100,0.84,0.7557955544110557,0.8990479765052628
0.5,60.0,100,0.62,0.5220957382071033,0.7090255079986562
1.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
1.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
1.0,60.0,100,0.94,0.8752303146877748,0.9722142547333433
1.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
1.5,30.0,100,1.0,0.9630051925239981,0.9999999999999999
1.5,60.0,100,0.97,0.915479219195973,0.9897456617765851
2.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
2.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
2.0,60.0,100,0.97,0.915479219195973,0.9897456617765851
