method,metric,effect_sd,lag_min,trials,rate,ci95_low,ci95_high
M0_naive_uncorrected,false_positive_rate,0.0,,1000,0.079,0.06384696504253543,0.0973752835672054
M0_naive_uncorrected,recovery_rate,0.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M0_naive_uncorrected,recovery_rate,0.5,30.0,100,0.99,0.9455124752390653,0.9982326134344526
M0_naive_uncorrected,recovery_rate,0.5,60.0,100,0.93,0.8625032899347025,0.965681175635936
M0_naive_uncorrected,recovery_rate,1.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M0_naive_uncorrected,recovery_rate,1.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M0_naive_uncorrected,recovery_rate,1.0,60.0,100,0.99,0.9455124752390653,0.9982326134344526
M0_naive_uncorrected,recovery_rate,1.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M0_naive_uncorrected,recovery_rate,1.5,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M0_naive_uncorrected,recovery_rate,1.5,60.0,100,1.0,0.9630051925239981,0.9999999999999999
M0_naive_uncorrected,recovery_rate,2.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M0_naive_uncorrected,recovery_rate,2.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M0_naive_uncorrected,recovery_rate,2.0,60.0,100,1.0,0.9630051925239981,0.9999999999999999
M1_bonferroni_only,false_positive_rate,0.0,,1000,0.026,0.01780381535792082,0.0378240845019774
M1_bonferroni_only,recovery_rate,0.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M1_bonferroni_only,recovery_rate,0.5,30.0,100,0.84,0.7557955544110557,0.8990479765052628
M1_bonferroni_only,recovery_rate,0.5,60.0,100,0.62,0.5220957382071033,0.7090255079986562
M1_bonferroni_only,recovery_rate,1.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M1_bonferroni_only,recovery_rate,1.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M1_bonferroni_only,recovery_rate,1.0,60.0,100,0.94,0.8752303146877748,0.9722142547333433
M1_bonferroni_only,recovery_rate,1.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M1_bonferroni_only,recovery_rate,1.5,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M1_bonferroni_only,recovery_rate,1.5,60.0,100,0.97,0.915479219195973,0.9897456617765851
M1_bonferroni_only,recovery_rate,2.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M1_bonferroni_only,recovery_rate,2.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M1_bonferroni_only,recovery_rate,2.0,60.0,100,0.97,0.915479219195973,0.9897456617765851
M2_bonferroni_support,false_positive_rate,0.0,,1000,0.026,0.01780381535792082,0.0378240845019774
M2_bonferroni_support,recovery_rate,0.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M2_bonferroni_support,recovery_rate,0.5,30.0,100,0.84,0.7557955544110557,0.8990479765052628
M2_bonferroni_support,recovery_rate,0.5,60.0,100,0.62,0.5220957382071033,0.7090255079986562
M2_bonferroni_support,recovery_rate,1.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M2_bonferroni_support,recovery_rate,1.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M2_bonferroni_support,recovery_rate,1.0,60.0,100,0.94,0.8752303146877748,0.9722142547333433
M2_bonferroni_support,recovery_rate,1.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M2_bonferroni_support,recovery_rate,1.5,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M2_bonferroni_support,recovery_rate,1.5,60.0,100,0.97,0.915479219195973,0.9897456617765851
M2_bonferroni_support,recovery_rate,2.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M2_bonferroni_support,recovery_rate,2.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M2_bonferroni_support,recovery_rate,2.0,60.0,100,0.97,0.915479219195973,0.9897456617765851
M3_ASDE_full,false_positive_rate,0.0,,1000,0.025,0.016990011790561223,0.036645541866509784
M3_ASDE_full,recovery_rate,0.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M3_ASDE_full,recovery_rate,0.5,30.0,100,0.84,0.7557955544110557,0.8990479765052628
M3_ASDE_full,recovery_rate,0.5,60.0,100,0.62,0.5220957382071033,0.7090255079986562
M3_ASDE_full,recovery_rate,1.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M3_ASDE_full,recovery_rate,1.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M3_ASDE_full,recovery_rate,1.0,60.0,100,0.94,0.8752303146877748,0.9722142547333433
M3_ASDE_full,recovery_rate,1.5,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M3_ASDE_full,recovery_rate,1.5,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M3_ASDE_full,recovery_rate,1.5,60.0,100,0.97,0.915479219195973,0.9897456617765851
M3_ASDE_full,recovery_rate,2.0,15.0,100,1.0,0.9630051925239981,0.9999999999999999
M3_ASDE_full,recovery_rate,2.0,30.0,100,1.0,0.9630051925239981,0.9999999999999999
M3_ASDE_full,recovery_rate,2.0,60.0,100,0.97,0.915479219195973,0.9897456617765851
