atm_quantile,rf_drop_quantile,horizon_minutes,atm_events_discovery,atm_events_characterization,rf_drop_events_discovery,rf_drop_events_characterization,rr_discovery,rr_characterization,both_rr_gt_1
0.75,0.05,30,74,33,75,17,1.1397159871736144,2.1322314049586777,True
0.75,0.05,60,74,33,75,17,0.955159705159705,1.699604743083004,False
0.75,0.05,120,74,33,75,17,1.182796569024114,1.6037296037296038,True
0.75,0.075,30,74,33,101,25,1.0377043710377043,2.606060606060606,True
0.75,0.075,60,74,33,101,25,1.1107142857142858,1.8914956011730204,True
0.75,0.075,120,74,33,101,25,1.2691329943805192,1.7199999999999998,True
0.75,0.1,30,74,33,140,39,0.958511142721669,1.9545454545454546,False
0.75,0.1,60,74,33,140,39,1.0222790357925493,1.699604743083004,True
0.75,0.1,120,74,33,140,39,1.1241797352908465,1.6563944530046226,True
0.8,0.05,30,61,29,75,17,1.3278688524590165,2.501567398119122,True
0.8,0.05,60,61,29,75,17,1.0907494145199064,1.7198275862068968,True
0.8,0.05,120,61,29,75,17,1.1837002341920377,1.4195402298850577,True
0.8,0.075,30,61,29,101,25,1.1518862334584237,3.0574712643678166,True
0.8,0.075,60,61,29,101,25,1.2628682792617216,2.0064655172413794,True
0.8,0.075,120,61,29,101,25,1.2468252135765412,1.5287356321839083,True
0.8,0.1,30,61,29,140,39,1.0441361916771752,2.0383141762452106,True
0.8,0.1,60,61,29,140,39,1.0182621252017328,1.5911330049261083,True
0.8,0.1,120,61,29,140,39,1.129211307602943,1.528735632183908,True
0.85,0.05,30,51,24,75,17,1.3731815306767867,1.7692307692307692,True
0.85,0.05,60,51,24,75,17,1.1389599317988064,1.5480769230769231,True
0.85,0.05,120,51,24,75,17,1.1940201494962626,1.277777777777778,True
0.85,0.075,30,51,24,101,25,1.2327566320645904,3.234375,True
0.85,0.075,60,51,24,101,25,1.2832538420773714,2.265151515151515,True
0.85,0.075,120,51,24,101,25,1.280035650623886,1.513157894736842,True
0.85,0.1,30,51,24,140,39,1.0283584508183439,2.258928571428571,True
0.85,0.1,60,51,24,140,39,1.0201990343876244,1.6911764705882355,True
0.85,0.1,120,51,24,140,39,1.1205546857526278,1.5681818181818181,True
0.9,0.05,30,37,19,75,17,0.9682034976152624,2.31578947368421,False
0.9,0.05,60,37,19,75,17,0.917600527356625,1.343984962406015,False
0.9,0.05,120,37,19,75,17,1.1325880854676666,1.0975877192982455,True
0.9,0.075,30,37,19,101,25,0.9200940070505288,2.9269005847953213,False
0.9,0.075,60,37,19,101,25,1.198140815975211,1.8307254623044096,True
0.9,0.075,120,37,19,101,25,1.2567567567567568,1.2139219015280136,True
0.9,0.1,30,37,19,140,39,0.8817567567567568,1.9422750424448219,False
0.9,0.1,60,37,19,140,39,0.9450407345144187,1.5052631578947369,False
0.9,0.1,120,37,19,140,39,1.09048178613396,1.3780578206078578,True
0.95,0.05,30,19,15,75,17,1.0852483320978503,2.1,True
0.95,0.05,60,19,15,75,17,1.053453947368421,0.98,False
0.95,0.05,120,19,15,75,17,1.043816437645839,0.7686274509803922,False
0.95,0.075,30,19,15,101,25,1.0032894736842104,2.4499999999999997,True
0.95,0.075,60,19,15,101,25,1.400956937799043,1.47,True
0.95,0.075,120,19,15,101,25,1.3311938382541721,1.0553846153846154,True
0.95,0.1,30,19,15,140,39,0.8625294579732914,1.4411764705882353,False
0.95,0.1,60,19,15,140,39,1.060357315306615,1.1627118644067798,True
0.95,0.1,120,19,15,140,39,1.1253391209983723,1.176,True
