k,archetype,horizon_min,discovery_events,characterization_events,discovery_risk_ratio,characterization_risk_ratio,discovery_exposed_outcomes,characterization_exposed_outcomes,same_direction,sufficient_events,discovery_rr_ci95_low,discovery_rr_ci95_high,characterization_rr_ci95_low,characterization_rr_ci95_high,directionally_replicated,evidence_accumulating,stable_candidate,profile_z__cu01_local_temp_avg_c,profile_z__cu01_local_hum_avg_pct,profile_z__sj01_local_temp_avg_c,profile_z__sj01_local_hum_avg_pct,profile_z__sj01_local_press_hpa,profile_z__sj01_local_wind_speed_ms,min_rr
3,1,60,32,18,1.3789062499999998,1.5999999999999999,6,3,True,True,0.6399200793073018,2.971281114271743,0.512398070520601,4.996115612611532,True,True,False,0.17245502372982044,-0.22201987499437315,5.952981570342974,-5.684604570917364,-0.6440449960283985,0.32407173209227014,1.3789062499999998
4,1,120,25,12,1.393548387096774,1.25,9,3,True,True,0.8030465835358969,2.4182620871497824,0.4458382506529298,3.504634242826226,True,True,False,2.287136848043384,-1.7710628475500843,5.459865230322544,-6.077041896526003,-0.5995473417573827,0.2529340348037231,1.25
3,1,120,32,18,1.0675403225806452,1.7777777777777777,9,6,True,True,0.5972923519187671,1.9080142859264029,0.8511672399318972,3.713129076036065,False,False,False,0.17245502372982044,-0.22201987499437315,5.952981570342974,-5.684604570917364,-0.6440449960283985,0.32407173209227014,1.0675403225806452
2,0,60,44,21,0.9687499999999999,1.3428571428571427,6,3,False,True,0.4403240964233434,2.1313313764180526,0.42446680838865936,4.248306982983943,False,False,False,1.2423294792597017,-1.3598823797123953,4.966703515469208,-4.824239326103038,-0.6574581645408212,0.5595207436567209,0.9687499999999999
4,3,120,20,12,0.9407216494845361,1.25,5,3,False,True,0.43208601454683315,2.0481042940883873,0.4458382506529298,3.504634242826226,False,False,False,-0.9090295917491356,1.4582010582010556,-6.6114894683085765,6.48232195218925,-0.2173359113870308,0.47635909888034506,0.9407216494845361
2,0,120,44,21,0.9368131868131868,1.492063492063492,11,6,False,True,0.54528184201654,1.609477667074889,0.7001988238733395,3.179459017131132,False,False,False,1.2423294792597017,-1.3598823797123953,4.966703515469208,-4.824239326103038,-0.6574581645408212,0.5595207436567209,0.9368131868131868
3,2,120,29,12,0.9045372050816698,1.25,7,3,False,True,0.46387153785832247,1.7638235774380555,0.4458382506529298,3.504634242826226,False,False,False,0.2949575578275488,0.7593763260462498,-5.637282570870827,5.407019551418347,-0.09820171977056817,-0.2325830205091705,0.9045372050816698
2,1,120,30,12,0.8719298245614036,1.25,7,3,False,True,0.4456874525654358,1.7058178653751948,0.4458382506529298,3.504634242826226,False,False,False,0.4190018354324403,0.6643664033654606,-5.444020050576112,5.284768105343618,0.019984911391984286,-0.3681595395476413,0.8719298245614036
3,1,30,32,18,1.3789062499999998,2.2857142857142856,3,2,True,False,0.43906125468303925,4.330563050164107,0.5135168391010316,10.173940556777879,False,False,False,0.17245502372982044,-0.22201987499437315,5.952981570342974,-5.684604570917364,-0.6440449960283985,0.32407173209227014,1.3789062499999998
3,2,30,29,12,0.9820689655172413,1.5624999999999998,2,1,False,False,0.24468798460984553,3.9415889364977725,0.2127328954000281,11.476392710253485,False,False,False,0.2949575578275488,0.7593763260462498,-5.637282570870827,5.407019551418347,-0.09820171977056817,-0.2325830205091705,0.9820689655172413
2,0,30,44,21,0.9687499999999999,1.9183673469387754,3,2,False,False,0.3041583514990527,3.0854867468694924,0.4267048763448688,8.624540008365363,False,False,False,1.2423294792597017,-1.3598823797123953,4.966703515469208,-4.824239326103038,-0.6574581645408212,0.5595207436567209,0.9687499999999999
2,1,30,30,12,0.9466666666666667,1.5624999999999998,2,1,False,False,0.23549565891237392,3.805495956557052,0.2127328954000281,11.476392710253485,False,False,False,0.4190018354324403,0.6643664033654606,-5.444020050576112,5.284768105343618,0.019984911391984286,-0.3681595395476413,0.9466666666666667
4,1,60,25,12,1.4693877551020411,0.7352941176470588,5,1,False,False,0.6432511179594309,3.356543524857096,0.10681148301918002,5.061791337072639,False,False,False,2.287136848043384,-1.7710628475500843,5.459865230322544,-6.077041896526003,-0.5995473417573827,0.2529340348037231,0.7352941176470588
3,2,60,29,12,0.7221095334685599,0.7352941176470588,3,1,False,False,0.24008575581602606,2.1718996887335296,0.10681148301918002,5.061791337072639,False,False,False,0.2949575578275488,0.7593763260462498,-5.637282570870827,5.407019551418347,-0.09820171977056817,-0.2325830205091705,0.7221095334685599
4,3,30,20,12,0.701923076923077,1.5624999999999998,1,1,False,False,0.1002700204939431,4.913692083536791,0.2127328954000281,11.476392710253485,False,False,False,-0.9090295917491356,1.4582010582010556,-6.6114894683085765,6.48232195218925,-0.2173359113870308,0.47635909888034506,0.701923076923077
4,3,60,20,12,0.701923076923077,0.7352941176470588,2,1,False,False,0.1840377481044537,2.6771464603963855,0.10681148301918002,5.061791337072639,False,False,False,-0.9090295917491356,1.4582010582010556,-6.6114894683085765,6.48232195218925,-0.2173359113870308,0.47635909888034506,0.701923076923077
2,1,60,30,12,0.696078431372549,0.7352941176470588,3,1,False,False,0.23097103841904063,2.0977746211757324,0.10681148301918002,5.061791337072639,False,False,False,0.4190018354324403,0.6643664033654606,-5.444020050576112,5.284768105343618,0.019984911391984286,-0.3681595395476413,0.696078431372549
4,0,120,13,8,0.5723076923076924,1.9249999999999998,2,3,False,False,0.15819650580378922,2.070438237623267,0.7441078626535251,4.979956785815376,False,False,False,-2.4409018743296405,2.1162868188363855,5.512616436129201,-3.9730924609409684,-0.9684995520696784,1.1609023648683696,0.5723076923076924
4,0,60,13,8,0.5399129172714078,2.40625,1,2,False,False,0.08079126503935573,3.6081370689581496,0.6645190434177287,8.713127366103603,False,False,False,-2.4409018743296405,2.1162868188363855,5.512616436129201,-3.9730924609409684,-0.9684995520696784,1.1609023648683696,0.5399129172714078
3,0,30,13,3,0.0,0.0,0,0,False,False,0.03110491257506922,7.544096382150656,0.1464990082770401,30.25367213140063,False,False,False,4.089247862618994,-4.2170084663002205,2.1692413436646616,-2.201515993077042,-0.3747170885985672,0.7652875924830594,0.0
3,0,60,13,3,0.0,0.0,0,0,False,False,0.01589466303100225,3.758869698576467,0.07807777104789396,14.968873831637952,False,False,False,4.089247862618994,-4.2170084663002205,2.1692413436646616,-2.201515993077042,-0.3747170885985672,0.7652875924830594,0.0
3,0,120,13,3,0.5723076923076924,0.0,2,0,False,False,0.15819650580378922,2.070438237623267,0.043889745452992006,8.120958949284384,False,False,False,4.089247862618994,-4.2170084663002205,2.1692413436646616,-2.201515993077042,-0.3747170885985672,0.7652875924830594,0.0
4,0,30,13,8,0.0,5.5,0,2,False,False,0.03110491257506922,7.544096382150656,1.35412851634736,22.339090887471052,False,False,False,-2.4409018743296405,2.1162868188363855,5.512616436129201,-3.9730924609409684,-0.9684995520696784,1.1609023648683696,0.0
4,1,30,25,12,1.8,0.0,3,0,False,False,0.5816233082227226,5.570615816447471,0.03766680968899338,9.922044037775834,False,False,False,2.287136848043384,-1.7710628475500843,5.459865230322544,-6.077041896526003,-0.5995473417573827,0.2529340348037231,0.0
4,2,30,16,1,0.8870192307692308,0.0,1,0,False,False,0.12828544998369146,6.133221778888111,0.3575390733519829,50.83224908838141,False,False,False,3.7479029469114704,-3.268938201657724,-1.2947813686381144,1.2628951983357795,0.22483025315902488,-1.0855085660326442,0.0
4,2,60,16,1,0.43514150943396224,0.0,1,0,False,False,0.06417574041162165,2.950462776401063,0.19109574450762537,25.079309423719693,False,False,False,3.7479029469114704,-3.268938201657724,-1.2947813686381144,1.2628951983357795,0.22483025315902488,-1.0855085660326442,0.0
4,2,120,16,1,0.46125000000000005,0.0,2,0,False,False,0.12480664510369198,1.7046493183375102,0.10756978273299737,13.587205404848715,False,False,False,3.7479029469114704,-3.268938201657724,-1.2947813686381144,1.2628951983357795,0.22483025315902488,-1.0855085660326442,0.0
