feature,column,kind,n_discovery,median_controls_discovery,pre_median_discovery,pre_p_discovery,post_median_discovery,post_p_discovery,n_characterization,median_controls_characterization,pre_median_characterization,pre_p_characterization,post_median_characterization,post_p_characterization,pre_q_discovery,pre_q_characterization,same_sign,fdr_pass_both,post_negative_control_pass,control_support_pass,all_gates
cu01_local_temp_avg_c__d30,cu01_local_temp_avg_c,d30,80,3.0,0.06250000000000044,0.4557726069911271,0.004999999999999005,0.3685286314914704,12,1.0,-0.08499999999999908,0.6220703125,-0.3349999999999991,0.1513671875,0.650203213096486,0.9429408482142857,False,False,True,False,False
cu01_local_temp_avg_c__d60,cu01_local_temp_avg_c,d60,80,3.0,0.22999999999999776,0.0825177034747557,0.21499999999999986,0.041747660148145696,12,1.0,-0.1899999999999995,0.5693359375,-0.15499999999999936,0.85009765625,0.29706373250912055,0.9429408482142857,False,False,False,False,False
cu01_local_temp_avg_c__std60,cu01_local_temp_avg_c,std60,80,3.0,-0.08329798095769506,0.07057533639907752,-0.04953499271537244,0.9655687417704625,12,1.0,0.02618048811644519,0.4697265625,-0.09454186714120938,0.5693359375,0.29706373250912055,0.9429408482142857,False,False,True,False,False
cu01_local_hum_avg_pct__d30,cu01_local_hum_avg_pct,d30,80,3.0,0.40000000000000213,0.5779584116413209,-0.25249999999999595,0.24576331143070496,12,1.0,-0.04499999999999815,1.0,1.3799999999999955,0.12939453125,0.650203213096486,1.0,False,False,True,False,False
cu01_local_hum_avg_pct__d60,cu01_local_hum_avg_pct,d60,80,3.0,-0.25,0.5111221834847101,-1.0500000000000025,0.0021778914625818855,12,1.0,0.9800000000000004,0.67724609375,0.6399999999999935,0.67724609375,0.650203213096486,0.9429408482142857,False,False,False,False,False
cu01_local_hum_avg_pct__std60,cu01_local_hum_avg_pct,std60,80,3.0,-0.18375382082388342,0.11679109693352302,-0.20472593767413394,0.05815423996563175,12,1.0,0.2261987915450463,0.423828125,-0.16444281128949087,0.26611328125,0.35037329080056906,0.9429408482142857,False,False,True,False,False
sj01_local_temp_avg_c__d30,sj01_local_temp_avg_c,d30,80,3.0,0.10499999999999998,0.47482414832130504,0.009999999999999787,0.9770412078508738,12,1.0,0.1299999999999999,0.12939453125,-0.20500000000000052,0.26611328125,0.650203213096486,0.9429408482142857,True,False,True,False,False
sj01_local_temp_avg_c__d60,sj01_local_temp_avg_c,d60,80,3.0,0.0050000000000005596,0.47186605064578224,0.07999999999999985,0.08422545770868942,12,1.0,0.040000000000000036,0.7333984375,-0.10000000000000009,0.90966796875,0.650203213096486,0.9429408482142857,True,False,True,False,False
sj01_local_temp_avg_c__std60,sj01_local_temp_avg_c,std60,80,3.0,-0.03103209750332668,0.16424869079584203,-0.08097588856954382,0.0030356420877229156,12,1.0,-0.07985765637729192,0.1513671875,-0.03997246444307862,0.38037109375,0.3695595542906446,0.9429408482142857,True,False,False,False,False
sj01_local_hum_avg_pct__d30,sj01_local_hum_avg_pct,d30,80,3.0,-0.005000000000002558,0.8450150156900058,0.3725000000000058,0.6729706497418675,12,1.0,-1.0050000000000026,0.38037109375,-0.3500000000000014,0.7333984375,0.8947217813188297,0.9429408482142857,True,False,True,False,False
sj01_local_hum_avg_pct__d60,sj01_local_hum_avg_pct,d60,80,3.0,-0.2749999999999986,0.5520175391628639,0.07000000000000028,0.486766041168636,12,1.0,-0.5249999999999986,0.90966796875,-0.5350000000000037,0.5185546875,0.650203213096486,0.9631778492647058,True,False,True,False,False
sj01_local_hum_avg_pct__std60,sj01_local_hum_avg_pct,std60,80,3.0,-0.5897073657170535,0.013690178076463074,-0.6142380977110082,0.019253392752083376,12,1.0,-1.214534240512732,0.17626953125,-0.5064080846534514,0.2333984375,0.12321160268816767,0.9429408482142857,True,False,False,False,False
sj01_local_press_hpa__d30,sj01_local_press_hpa,d30,80,3.0,-0.005000000000023874,0.8988565053127752,0.007499999999993179,0.4942807597394745,12,1.0,0.010000000000047748,0.35029075975557733,-0.009999999999934062,0.8588630128278887,0.8988565053127753,0.9429408482142857,False,False,True,False,False
sj01_local_press_hpa__d60,sj01_local_press_hpa,d60,80,3.0,-0.05999999999994543,0.04923431420959163,0.012500000000017053,0.6529831604094258,12,1.0,0.060000000000002274,0.47690655496758394,-0.03499999999996817,0.5693359375,0.2954058852575498,0.9429408482142857,False,False,True,False,False
sj01_local_press_hpa__std60,sj01_local_press_hpa,std60,80,3.0,0.01398394955207724,0.13832626174513996,0.005308521448591452,0.4689187945539596,12,1.0,0.020535999025848257,0.33935546875,0.0022725305876866407,0.85009765625,0.35569610163035986,0.9429408482142857,True,False,True,False,False
sj01_local_wind_speed_ms__d30,sj01_local_wind_speed_ms,d30,80,3.0,0.10000000000000017,0.5047140289883052,-0.30000000000000004,0.1821292293138268,12,1.0,0.050000000000000155,0.791015625,0.2999999999999999,0.67724609375,0.650203213096486,0.94921875,True,False,True,False,False
sj01_local_wind_speed_ms__d60,sj01_local_wind_speed_ms,d60,80,3.0,0.5499999999999999,0.0002121761141389496,-0.29999999999999966,0.1944393861398176,12,1.0,-0.14999999999999947,0.90966796875,-0.25,0.6220703125,0.003819170054501093,0.9631778492647058,False,False,True,False,False
sj01_local_wind_speed_ms__std60,sj01_local_wind_speed_ms,std60,80,3.0,-0.06089764016510324,0.414861224887195,-0.002878977531940996,0.8403513647405143,12,1.0,-0.03272398214349065,0.7333984375,0.14478013562577682,0.5693359375,0.650203213096486,0.9429408482142857,True,False,True,False,False
