k,archetype,horizon_min,discovery_n_events,discovery_post_only,discovery_pre_only,discovery_both,discovery_neither,discovery_p_value,characterization_n_events,characterization_post_only,characterization_pre_only,characterization_both,characterization_neither,characterization_p_value,discovery_q,characterization_q,direction_preserved,support_ok,strict_pass
2,0,30,44,1,4,0,39,0.96875,21,2,1,0,18,0.5,1.0,1.0,False,True,False
2,0,60,44,2,8,2,32,0.9892578125,21,3,3,0,15,0.65625,1.0,1.0,False,True,False
2,0,120,44,7,10,3,24,0.8338470458984375,21,6,5,0,10,0.5,1.0,1.0,False,True,False
2,1,30,30,3,3,0,24,0.65625,12,0,2,0,10,1.0,1.0,1.0,False,True,False
2,1,60,30,4,3,0,23,0.5,12,2,2,0,8,0.6875,1.0,1.0,False,True,False
2,1,120,30,6,6,2,16,0.61279296875,12,2,2,1,7,0.6875,1.0,1.0,False,True,False
3,0,30,13,0,0,0,13,1.0,3,0,1,0,2,1.0,1.0,1.0,False,False,False
3,0,60,13,0,3,0,10,1.0,3,0,2,0,1,1.0,1.0,1.0,False,False,False
3,0,120,13,1,3,1,8,0.9375,3,0,2,0,1,1.0,1.0,1.0,False,False,False
3,1,30,32,1,4,0,27,0.96875,18,2,0,0,16,0.25,1.0,1.0,False,True,False
3,1,60,32,2,5,2,23,0.9375,18,3,1,0,14,0.3125,1.0,1.0,False,True,False
3,1,120,32,6,7,2,17,0.70947265625,18,6,3,0,9,0.25390625,1.0,1.0,False,True,False
3,2,30,29,3,3,0,23,0.65625,12,0,2,0,10,1.0,1.0,1.0,False,True,False
3,2,60,29,4,3,0,22,0.5,12,2,2,0,8,0.6875,1.0,1.0,False,True,False
3,2,120,29,6,6,2,15,0.61279296875,12,2,2,1,7,0.6875,1.0,1.0,False,True,False
4,0,30,13,1,1,0,11,0.75,8,2,0,0,6,0.25,1.0,1.0,False,True,False
4,0,60,13,0,1,1,11,1.0,8,2,0,0,6,0.25,1.0,1.0,False,True,False
4,0,120,13,1,1,1,10,0.75,8,3,1,0,4,0.3125,1.0,1.0,False,True,False
4,1,30,25,0,3,0,22,1.0,12,0,1,0,11,1.0,1.0,1.0,False,True,False
4,1,60,25,2,5,1,17,0.9375,12,1,2,0,9,0.875,1.0,1.0,False,True,False
4,1,120,25,6,7,2,10,0.70947265625,12,3,3,0,6,0.65625,1.0,1.0,False,True,False
4,2,30,16,1,0,0,15,0.5,1,0,0,0,1,1.0,1.0,1.0,False,False,False
4,2,60,16,2,2,0,12,0.6875,1,0,1,0,0,1.0,1.0,1.0,False,False,False
4,2,120,16,2,2,1,11,0.6875,1,0,1,0,0,1.0,1.0,1.0,False,False,False
4,3,30,20,2,3,0,15,0.8125,12,0,2,0,10,1.0,1.0,1.0,False,True,False
4,3,60,20,2,3,0,15,0.8125,12,2,2,0,8,0.6875,1.0,1.0,False,True,False
4,3,120,20,4,6,1,9,0.828125,12,2,2,1,7,0.6875,1.0,1.0,False,True,False
5,0,30,22,2,2,0,18,0.6875,8,0,2,0,6,1.0,1.0,1.0,False,True,False
5,0,60,22,3,2,0,17,0.5,8,1,2,0,5,0.875,1.0,1.0,False,True,False
5,0,120,22,5,6,1,10,0.7255859375,8,1,2,0,5,0.875,1.0,1.0,False,True,False
5,1,30,15,1,2,0,12,0.875,8,2,0,0,6,0.25,1.0,1.0,False,True,False
5,1,60,15,0,2,1,12,1.0,8,2,0,0,6,0.25,1.0,1.0,False,True,False
5,1,120,15,1,3,1,10,0.9375,8,3,1,0,4,0.3125,1.0,1.0,False,True,False
5,2,30,14,0,1,0,13,1.0,9,0,0,0,9,1.0,1.0,1.0,False,True,False
5,2,60,14,2,2,1,9,0.6875,9,1,1,0,7,0.75,1.0,1.0,False,True,False
5,2,120,14,5,3,1,5,0.36328125,9,2,2,0,5,0.6875,1.0,1.0,False,True,False
5,3,30,15,0,1,0,14,1.0,4,0,1,0,3,1.0,1.0,1.0,False,False,False
5,3,60,15,0,4,0,11,1.0,4,0,2,0,2,1.0,1.0,1.0,False,False,False
5,3,120,15,1,4,1,9,0.96875,4,1,2,0,1,0.875,1.0,1.0,False,False,False
5,4,30,8,1,1,0,6,0.75,4,0,0,0,4,1.0,1.0,1.0,False,False,False
5,4,60,8,1,1,0,6,0.75,4,1,0,0,3,0.5,1.0,1.0,False,False,False
5,4,120,8,1,0,1,6,0.5,4,1,0,1,2,0.5,1.0,1.0,True,False,False
6,0,30,17,2,2,0,13,0.6875,11,0,2,0,9,1.0,1.0,1.0,False,True,False
6,0,60,17,3,2,0,12,0.5,11,2,2,0,7,0.6875,1.0,1.0,False,True,False
6,0,120,17,5,6,0,6,0.7255859375,11,2,2,1,6,0.6875,1.0,1.0,False,True,False
6,1,30,6,0,0,0,6,1.0,3,0,0,0,3,1.0,1.0,1.0,False,False,False
6,1,60,6,0,0,0,6,1.0,3,0,0,0,3,1.0,1.0,1.0,False,False,False
6,1,120,6,0,0,0,6,1.0,3,1,1,0,1,0.75,1.0,1.0,False,False,False
6,2,30,11,0,0,0,11,1.0,1,0,0,0,1,1.0,1.0,1.0,False,False,False
6,2,60,11,0,2,0,9,1.0,1,0,1,0,0,1.0,1.0,1.0,False,False,False
6,2,120,11,1,2,0,8,0.875,1,0,1,0,0,1.0,1.0,1.0,False,False,False
6,3,30,17,0,3,0,14,1.0,9,0,1,0,8,1.0,1.0,1.0,False,True,False
6,3,60,17,2,5,0,10,0.9375,9,1,2,0,6,0.875,1.0,1.0,False,True,False
6,3,120,17,5,5,1,6,0.623046875,9,2,3,0,4,0.8125,1.0,1.0,False,True,False
6,4,30,8,1,1,0,6,0.75,1,0,0,0,1,1.0,1.0,1.0,False,False,False
6,4,60,8,1,1,0,6,0.75,1,0,0,0,1,1.0,1.0,1.0,False,False,False
6,4,120,8,0,0,2,6,1.0,1,0,0,0,1,1.0,1.0,1.0,False,False,False
6,5,30,15,1,1,0,13,0.75,8,2,0,0,6,0.25,1.0,1.0,False,True,False
6,5,60,15,0,1,2,12,1.0,8,2,0,0,6,0.25,1.0,1.0,False,True,False
6,5,120,15,2,3,2,8,0.8125,8,3,0,0,5,0.125,1.0,1.0,False,True,False
