feature,column,kind,n_events,sign_consistency,eligible_folds,combined_pre_p,pooled_pre_median,pooled_post_median,pooled_post_p,fold1_n,fold1_median,fold1_p,fold2_n,fold2_median,fold2_p,fold3_n,fold3_median,fold3_p,fold4_n,fold4_median,fold4_p,combined_pre_q,classification
sj01_local_hum_avg_pct__std60,sj01_local_hum_avg_pct,std60,128,4,4,7.876553866923066e-05,-0.6332922425088866,-0.46120438175982054,0.02015481691094503,36,-0.4356837915198161,0.03209542465629056,27,-0.03452073713929593,0.5303222090005875,46,-1.1728439071059502,1.1598289518133242e-05,19,-0.30346006029957356,0.4653167724609375,0.001268349571009381,CONTEXT_MARKER
cu01_local_hum_avg_pct__std60,cu01_local_hum_avg_pct,std60,128,2,4,0.00014092773011215346,-0.08457869490430547,-0.08615455896625945,0.8157158347939173,36,0.041734805710609724,0.28559634322300553,27,0.2822070134895718,0.12860044836997986,46,-0.3551427653569772,1.0896568198859313e-05,19,-0.07236220728909526,0.4653167724609375,0.001268349571009381,SCREENED
cu01_local_temp_avg_c__std60,cu01_local_temp_avg_c,std60,128,3,4,0.001073708346752024,-0.04122307269704152,-0.039976520325009694,0.5893073656693824,36,-0.0005134631479705998,0.3542106300010346,27,0.04960200181219629,0.4553176909685135,46,-0.12946231214142354,1.6767338479439786e-05,19,-0.010177232153248325,0.8595733642578125,0.006442250080512145,SCREENED
sj01_local_wind_speed_ms__d60,sj01_local_wind_speed_ms,d60,128,3,4,0.025930162608951493,0.4750000000000004,-0.25000000000000033,0.09901830386780738,36,0.47500000000000053,0.057045533138449185,27,0.1000000000000002,0.21800453840726197,46,0.6749999999999998,0.013405904786338851,19,-0.3999999999999998,0.9843215942382812,0.11668573174028171,SCREENED
sj01_local_temp_avg_c__std60,sj01_local_temp_avg_c,std60,128,2,4,0.041534489124073426,-0.015254632578842027,-0.018789375971297248,0.16633297393812152,36,0.012053677118006624,0.36241441484889947,27,0.01343559066088601,0.4270208328962326,46,-0.08530327289120326,0.0021374868341297315,19,-0.028821356686379584,0.9843215942382812,0.14952416084666434,SCREENED
sj01_local_temp_avg_c__d30,sj01_local_temp_avg_c,d30,128,2,4,0.07402417926246317,0.02499999999999991,-0.00999999999999912,0.24564626608230178,36,-0.05000000000000071,0.5496823404100724,27,-0.16000000000000014,0.21085703372955322,46,0.13749999999999973,0.027922520781856974,19,0.02999999999999936,0.24125289916992188,0.22207253778738953,SCREENED
cu01_local_hum_avg_pct__d60,cu01_local_hum_avg_pct,d60,128,3,4,0.1181616575679461,0.5000000000000053,-0.5675000000000026,0.006062422265252372,36,-0.17749999999999844,0.7152452514856122,27,1.5200000000000031,0.03620612621307373,46,0.3550000000000004,0.2631866036092845,19,0.7950000000000053,0.24125289916992188,0.3038442623175757,SCREENED
sj01_local_temp_avg_c__d60,sj01_local_temp_avg_c,d60,128,2,4,0.23321470474559802,-0.022499999999999964,-0.04749999999999943,0.7329032857312889,36,-0.029999999999999583,0.6357367984892335,27,-0.15999999999999837,0.04355788230895996,46,0.0499999999999996,0.2823282549802002,19,0.010000000000000675,0.6794281005859375,0.46642940949119605,SCREENED
cu01_local_temp_avg_c__d30,cu01_local_temp_avg_c,d30,128,4,4,0.21978238500086592,-0.08249999999999957,-0.002500000000001279,0.43536730245023625,36,-0.2499999999999991,0.030796389473835006,27,-0.040000000000000924,0.5780609846115112,46,-0.027500000000000302,0.49483951698749706,19,-0.10000000000000142,0.5412178039550781,0.46642940949119605,SCREENED
sj01_local_press_hpa__std60,sj01_local_press_hpa,std60,128,2,4,0.32501391404789215,0.001345884561131619,-0.005479915427067911,0.42013168720934746,36,-0.012643964877680807,0.2716285473725293,27,0.011465049584151704,0.3011907488107681,46,-0.0009198951558560542,0.8455738383649702,19,0.012330861484868477,0.14468765258789062,0.566585430167844,SCREENED
sj01_local_wind_speed_ms__d30,sj01_local_wind_speed_ms,d30,128,2,3,0.346246651769238,0.0,-0.14999999999999947,0.5667284744379838,36,0.0,0.3308790087391338,27,0.4,0.1348898708820343,46,0.2749999999999997,0.34518088661513957,19,-0.8000000000000003,0.7380905151367188,0.566585430167844,SCREENED
