effect_sd,lag_min,horizon_min,trials,recovery_rate,ci95_low,ci95_high
0.5,15.0,30,50,0.98,0.8950431352816304,0.9964608319110235
0.5,15.0,60,50,0.58,0.4423319668777783,0.7062520276543307
0.5,15.0,120,50,0.22,0.12753786224302288,0.35241815689459555
0.5,30.0,30,50,0.0,0.0,0.07135003417431873
0.5,30.0,60,50,0.0,0.0,0.07135003417431873
0.5,30.0,120,50,0.0,0.0,0.07135003417431873
0.5,60.0,30,50,0.0,0.0,0.07135003417431873
0.5,60.0,60,50,0.0,0.0,0.07135003417431873
0.5,60.0,120,50,0.0,0.0,0.07135003417431873
1.0,15.0,30,50,1.0,0.9286499658256813,1.0
1.0,15.0,60,50,1.0,0.9286499658256813,1.0
1.0,15.0,120,50,0.76,0.6258705062480763,0.8570274759812779
1.0,30.0,30,50,1.0,0.9286499658256813,1.0
1.0,30.0,60,50,0.6,0.4618118910275937,0.7239181021375425
1.0,30.0,120,50,0.1,0.04347512399157111,0.2136049033478839
1.0,60.0,30,50,0.0,0.0,0.07135003417431873
1.0,60.0,60,50,0.0,0.0,0.07135003417431873
1.0,60.0,120,50,0.0,0.0,0.07135003417431873
1.5,15.0,30,50,1.0,0.9286499658256813,1.0
1.5,15.0,60,50,1.0,0.9286499658256813,1.0
1.5,15.0,120,50,0.98,0.8950431352816304,0.9964608319110235
1.5,30.0,30,50,1.0,0.9286499658256813,1.0
1.5,30.0,60,50,0.98,0.8950431352816304,0.9964608319110235
1.5,30.0,120,50,0.6,0.4618118910275937,0.7239181021375425
1.5,60.0,30,50,0.0,0.0,0.07135003417431873
1.5,60.0,60,50,0.0,0.0,0.07135003417431873
1.5,60.0,120,50,0.0,0.0,0.07135003417431873
2.0,15.0,30,50,1.0,0.9286499658256813,1.0
2.0,15.0,60,50,1.0,0.9286499658256813,1.0
2.0,15.0,120,50,0.98,0.8950431352816304,0.9964608319110235
2.0,30.0,30,50,1.0,0.9286499658256813,1.0
2.0,30.0,60,50,1.0,0.9286499658256813,1.0
2.0,30.0,120,50,0.62,0.4815019502239357,0.7413740415742278
2.0,60.0,30,50,0.0,0.0,0.07135003417431873
2.0,60.0,60,50,0.0,0.0,0.07135003417431873
2.0,60.0,120,50,0.0,0.0,0.07135003417431873
