mode,effect_sd,lag_min,seed,horizon_min,p_value,positive_folds,post_only,pre_only,pass_bonferroni
injected,0.5,15.0,0,30,4.481519681576174e-06,4.0,36.0,7.0,True
injected,0.5,15.0,0,60,0.021779260961920954,4.0,28.0,14.0,False
injected,0.5,15.0,0,120,0.03195732831954956,4.0,17.0,7.0,False
injected_any,0.5,15.0,0,0,,,,,True
injected,0.5,15.0,1,30,0.0013010857283610733,4.0,36.0,14.0,True
injected,0.5,15.0,1,60,0.04271656657869727,4.0,31.0,18.0,False
injected,0.5,15.0,1,120,0.04357927665114403,4.0,19.0,9.0,False
injected_any,0.5,15.0,1,0,,,,,True
injected,0.5,15.0,2,30,2.0967078967260022e-05,4.0,35.0,8.0,True
injected,0.5,15.0,2,60,0.027038015929434778,4.0,30.0,16.0,False
injected,0.5,15.0,2,120,0.03071417286992073,3.0,20.0,9.0,False
injected_any,0.5,15.0,2,0,,,,,True
injected,0.5,15.0,3,30,4.9244392464231617e-05,4.0,37.0,10.0,True
injected,0.5,15.0,3,60,0.021779260961920954,4.0,28.0,14.0,False
injected,0.5,15.0,3,120,0.15525232953950768,3.0,21.0,14.0,False
injected_any,0.5,15.0,3,0,,,,,True
injected,0.5,15.0,4,30,4.623849960694315e-06,4.0,38.0,8.0,True
injected,0.5,15.0,4,60,0.011314420602957398,4.0,30.0,14.0,True
injected,0.5,15.0,4,120,0.03071417286992073,3.0,20.0,9.0,False
injected_any,0.5,15.0,4,0,,,,,True
injected,0.5,15.0,5,30,5.3022333133867505e-05,4.0,35.0,9.0,True
injected,0.5,15.0,5,60,0.024383382952237298,4.0,29.0,15.0,False
injected,0.5,15.0,5,120,0.049368573352694525,4.0,20.0,10.0,False
injected_any,0.5,15.0,5,0,,,,,True
injected,0.5,15.0,6,30,0.0005975601600036741,4.0,38.0,14.0,True
injected,0.5,15.0,6,60,0.03622713008127221,3.0,29.0,16.0,False
injected,0.5,15.0,6,120,0.08431877195835114,3.0,17.0,9.0,False
injected_any,0.5,15.0,6,0,,,,,True
injected,0.5,15.0,7,30,0.0015438382307593197,4.0,34.0,13.0,True
injected,0.5,15.0,7,60,0.027038015929434778,4.0,30.0,16.0,False
injected,0.5,15.0,7,120,0.020479795755818493,4.0,24.0,11.0,False
injected_any,0.5,15.0,7,0,,,,,True
injected,0.5,15.0,8,30,4.9244392464231617e-05,4.0,37.0,10.0,True
injected,0.5,15.0,8,60,0.009311918307503216,4.0,32.0,15.0,True
injected,0.5,15.0,8,120,0.021386972628533847,4.0,21.0,9.0,False
injected_any,0.5,15.0,8,0,,,,,True
injected,0.5,15.0,9,30,1.6526333546096341e-06,4.0,40.0,8.0,True
injected,0.5,15.0,9,60,0.0009569805006321985,4.0,32.0,11.0,True
injected,0.5,15.0,9,120,0.01205977238714695,4.0,21.0,8.0,True
injected_any,0.5,15.0,9,0,,,,,True
injected,0.5,15.0,10,30,4.0856674996314624e-05,4.0,41.0,12.0,True
injected,0.5,15.0,10,60,0.009311918307503216,4.0,32.0,15.0,True
injected,0.5,15.0,10,120,0.055092082591727376,3.0,21.0,11.0,False
injected_any,0.5,15.0,10,0,,,,,True
injected,0.5,15.0,11,30,0.0001111224813108436,4.0,37.0,11.0,True
injected,0.5,15.0,11,60,0.00685909252933925,4.0,30.0,13.0,True
injected,0.5,15.0,11,120,0.03195732831954956,4.0,17.0,7.0,False
injected_any,0.5,15.0,11,0,,,,,True
injected,0.5,15.0,12,30,1.2452015312192087e-05,4.0,38.0,9.0,True
injected,0.5,15.0,12,60,0.005675795718389054,4.0,32.0,14.0,True
injected,0.5,15.0,12,120,0.014479637145996094,4.0,19.0,7.0,True
injected_any,0.5,15.0,12,0,,,,,True
injected,0.5,15.0,13,30,0.00033977412749663927,4.0,31.0,9.0,True
injected,0.5,15.0,13,60,0.029791944009048166,4.0,27.0,14.0,False
injected,0.5,15.0,13,120,0.006270475685596466,4.0,21.0,7.0,True
injected_any,0.5,15.0,13,0,,,,,True
injected,0.5,15.0,14,30,0.0001111224813108436,4.0,37.0,11.0,True
injected,0.5,15.0,14,60,0.027038015929434778,4.0,30.0,16.0,False
injected,0.5,15.0,14,120,0.035377772990614176,3.0,21.0,10.0,False
injected_any,0.5,15.0,14,0,,,,,True
injected,0.5,15.0,15,30,0.0025488216488156468,4.0,28.0,10.0,True
injected,0.5,15.0,15,60,0.0403452338759962,4.0,26.0,14.0,False
injected,0.5,15.0,15,120,0.04357927665114403,3.0,19.0,9.0,False
injected_any,0.5,15.0,15,0,,,,,True
injected,0.5,15.0,16,30,0.0004681114554259125,4.0,37.0,13.0,True
injected,0.5,15.0,16,60,0.02973168762688517,4.0,31.0,17.0,False
injected,0.5,15.0,16,120,0.06624908198136838,4.0,23.0,13.0,False
injected_any,0.5,15.0,16,0,,,,,True
injected,0.5,15.0,17,30,7.687045098236922e-06,4.0,37.0,8.0,True
