method,metric,effect_sd,lag_min,trials,rate,ci95_low,ci95_high
M0_naive_uncorrected,false_positive_rate,0.0,,200,0.08,0.04984015517626642,0.12599048979512317
M0_naive_uncorrected,recovery_rate,0.5,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,0.5,30.0,50,0.08,0.031549003255790686,0.18838502545063704
M0_naive_uncorrected,recovery_rate,0.5,60.0,50,0.0,0.0,0.07135003417431873
M0_naive_uncorrected,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.0,60.0,50,0.02,0.0035391680889764604,0.10495686471836953
M0_naive_uncorrected,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,1.5,60.0,50,0.22,0.12753786224302288,0.35241815689459555
M0_naive_uncorrected,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M0_naive_uncorrected,recovery_rate,2.0,60.0,50,0.32,0.20758044093999403,0.45810557136276076
M1_bonferroni_only,false_positive_rate,0.0,,200,0.015,0.005114145184492387,0.043166480556278884
M1_bonferroni_only,recovery_rate,0.5,15.0,50,0.98,0.8950431352816304,0.9964608319110235
M1_bonferroni_only,recovery_rate,0.5,30.0,50,0.0,0.0,0.07135003417431873
M1_bonferroni_only,recovery_rate,0.5,60.0,50,0.0,0.0,0.07135003417431873
M1_bonferroni_only,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.0,60.0,50,0.0,0.0,0.07135003417431873
M1_bonferroni_only,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,1.5,60.0,50,0.0,0.0,0.07135003417431873
M1_bonferroni_only,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M1_bonferroni_only,recovery_rate,2.0,60.0,50,0.0,0.0,0.07135003417431873
M2_bonferroni_support,false_positive_rate,0.0,,200,0.015,0.005114145184492387,0.043166480556278884
M2_bonferroni_support,recovery_rate,0.5,15.0,50,0.98,0.8950431352816304,0.9964608319110235
M2_bonferroni_support,recovery_rate,0.5,30.0,50,0.0,0.0,0.07135003417431873
M2_bonferroni_support,recovery_rate,0.5,60.0,50,0.0,0.0,0.07135003417431873
M2_bonferroni_support,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.0,60.0,50,0.0,0.0,0.07135003417431873
M2_bonferroni_support,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,1.5,60.0,50,0.0,0.0,0.07135003417431873
M2_bonferroni_support,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M2_bonferroni_support,recovery_rate,2.0,60.0,50,0.0,0.0,0.07135003417431873
M3_ASDE_full,false_positive_rate,0.0,,200,0.015,0.005114145184492387,0.043166480556278884
M3_ASDE_full,recovery_rate,0.5,15.0,50,0.98,0.8950431352816304,0.9964608319110235
M3_ASDE_full,recovery_rate,0.5,30.0,50,0.0,0.0,0.07135003417431873
M3_ASDE_full,recovery_rate,0.5,60.0,50,0.0,0.0,0.07135003417431873
M3_ASDE_full,recovery_rate,1.0,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.0,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.0,60.0,50,0.0,0.0,0.07135003417431873
M3_ASDE_full,recovery_rate,1.5,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.5,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,1.5,60.0,50,0.0,0.0,0.07135003417431873
M3_ASDE_full,recovery_rate,2.0,15.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,2.0,30.0,50,1.0,0.9286499658256813,1.0
M3_ASDE_full,recovery_rate,2.0,60.0,50,0.0,0.0,0.07135003417431873
